GenomeA	GenomeB	Mean_AAI
Halomonas chromatireducens AGD 8-3	Zooshikella ganghwensis DSM 15267	55.44
Halomonas chromatireducens AGD 8-3	Oleispira antarctica RB-8	54.41
Halomonas chromatireducens AGD 8-3	Marinobacter lutaoensis T5054	57.70
Halomonas chromatireducens AGD 8-3	Kangiella koreensis DSM 16069	53.20
Halomonas chromatireducens AGD 8-3	Marinospirillum insulare DSM 21763	58.78
Halomonas chromatireducens AGD 8-3	Microbulbifer thermotolerans DAU221	56.81
Halomonas chromatireducens AGD 8-3	Acinetobacter brisouii CIP 110357	52.52
Halomonas chromatireducens AGD 8-3	Halomonas gudaonensis CGMCC 1.6133	78.38
Halomonas chromatireducens AGD 8-3	Halomonas subglaciescola ACAM 12	71.34
Halomonas chromatireducens AGD 8-3	Salinicola socius SMB35	67.50
Halomonas chromatireducens AGD 8-3	Marinomonas spartinae CECT 8886	54.24
Halomonas chromatireducens AGD 8-3	Oceanospirillum beijerinckii DSM 7166	58.39
Halomonas chromatireducens AGD 8-3	Halomonas huangheensis BJGMM-B45	71.56
Halomonas chromatireducens AGD 8-3	Halomonas ilicicola DSM 19980	71.35
Halomonas chromatireducens AGD 8-3	Microbulbifer yueqingensis CGMCC 1.10658	56.46
Halomonas chromatireducens AGD 8-3	Oceanospirillum maris DSM 6286	58.49
Halomonas chromatireducens AGD 8-3	Pseudomonas citronellolis SJTE-3	56.71
Halomonas chromatireducens AGD 8-3	Moraxella caviae CCUG 355	51.91
Halomonas chromatireducens AGD 8-3	Acinetobacter guillouiae NIPH 991	52.05
Halomonas chromatireducens AGD 8-3	Marinobacter nanhaiticus D15-8W	56.98
Halomonas chromatireducens AGD 8-3	Pseudomonas monteilii USDA-ARS-USMARC-56711	56.31
Halomonas chromatireducens AGD 8-3	Neptunomonas antarctica S3-22	55.64
Halomonas chromatireducens AGD 8-3	Alcanivorax nanhaiticus 19-m-6	55.71
Halomonas chromatireducens AGD 8-3	Amphritea atlantica DSM 18887	55.91
Halomonas chromatireducens AGD 8-3	Oleibacter marinus DSM 24913	55.40
Halomonas chromatireducens AGD 8-3	Kushneria avicenniae DSM 23439	63.22
Halomonas chromatireducens AGD 8-3	Pseudomonas jinjuensis JCM 21621	56.49
Halomonas chromatireducens AGD 8-3	Moraxella atlantae NBRC 14588	52.29
Halomonas chromatireducens AGD 8-3	Acinetobacter ursingii CIP 107286	52.61
Halomonas chromatireducens AGD 8-3	Nitrincola nitratireducens AK23	57.45
Halomonas chromatireducens AGD 8-3	Marinospirillum alkaliphilum DSM 21637	60.42
Halomonas chromatireducens AGD 8-3	Marinobacter nitratireducens AK21	57.59
Halomonas chromatireducens AGD 8-3	Marinobacter mobilis CGMCC 1.7059	57.48
Halomonas chromatireducens AGD 8-3	Microbulbifer mangrovi DD-13	56.10
Halomonas chromatireducens AGD 8-3	Cobetia marina JCM 21022	66.22
Halomonas chromatireducens AGD 8-3	Simiduia agarivorans SA1 = DSM 21679	54.98
Halomonas chromatireducens AGD 8-3	Pseudomonas salegens CECT 8338	57.22
Halomonas chromatireducens AGD 8-3	Pseudomonas stutzeri CGMCC 1.1803	56.78
Halomonas chromatireducens AGD 8-3	Pseudomonas nitroreducens NBRC 12694	56.52
Halomonas chromatireducens AGD 8-3	Acinetobacter tandoii CIP 107469	52.36
Halomonas chromatireducens AGD 8-3	Oleiphilus messinensis ME102	55.47
Halomonas chromatireducens AGD 8-3	Pseudomonas guineae LMG 24016	56.62
Halomonas chromatireducens AGD 8-3	Pseudomonas guangdongensis CCTCC 2012022	57.91
Halomonas chromatireducens AGD 8-3	Gilvimarinus chinensis DSM 19667	55.77
Halomonas chromatireducens AGD 8-3	Pseudomonas pachastrellae JCM 12285	57.03
Halomonas chromatireducens AGD 8-3	Marinobacter zhejiangensis CGMCC 1.7061	57.63
Halomonas chromatireducens AGD 8-3	Spongiibacter marinus DSM 19753	55.62
Halomonas chromatireducens AGD 8-3	Acinetobacter bouvetii CIP 107468	52.52
Halomonas chromatireducens AGD 8-3	Cellvibrio mixtus J3-8	55.14
Halomonas chromatireducens AGD 8-3	Marinobacter lipolyticus SM19	57.37
Halomonas chromatireducens AGD 8-3	Pseudomonas rhizosphaerae DSM 16299	55.98
Halomonas chromatireducens AGD 8-3	Marinobacterium stanieri DSM 7027	56.58
Halomonas chromatireducens AGD 8-3	Moraxella caprae DSM 19149	51.44
Halomonas chromatireducens AGD 8-3	Hahella chejuensis KCTC 2396	55.47
Halomonas chromatireducens AGD 8-3	Acinetobacter harbinensis HITLi 7	52.43
Halomonas chromatireducens AGD 8-3	Saccharospirillum impatiens DSM 12546	56.04
Halomonas chromatireducens AGD 8-3	Psychrobacter arcticus 273-4	52.04
Halomonas chromatireducens AGD 8-3	Perlucidibaca aquatica BK296	55.46
Halomonas chromatireducens AGD 8-3	Marinospirillum celere DSM 18438	60.39
Halomonas chromatireducens AGD 8-3	Halomonas muralis DSM 14789	71.58
Halomonas chromatireducens AGD 8-3	Halomonas campaniensis LS21	73.11
Halomonas chromatireducens AGD 8-3	Pseudomonas taeanensis MS-3	56.43
Halomonas chromatireducens AGD 8-3	Pseudomonas pohangensis DSM 17875	56.96
Halomonas chromatireducens AGD 8-3	Alkanindiges illinoisensis DSM 15370	53.24
Halomonas chromatireducens AGD 8-3	Acinetobacter qingfengensis ANC 4671	52.61
Halomonas chromatireducens AGD 8-3	Acinetobacter baumannii AB030	52.47
Halomonas chromatireducens AGD 8-3	Endozoicomonas atrinae WP70	55.30
Halomonas chromatireducens AGD 8-3	Marinobacterium rhizophilum DSM 18822	56.32
Halomonas chromatireducens AGD 8-3	Halomonas smyrnensis AAD6	74.64
Halomonas chromatireducens AGD 8-3	Pseudomonas azotifigens DSM 17556	56.59
Halomonas chromatireducens AGD 8-3	Neptunomonas qingdaonensis CGMCC 1.10971	55.58
Halomonas chromatireducens AGD 8-3	Azotobacter vinelandii CA	57.35
Halomonas chromatireducens AGD 8-3	Endozoicomonas montiporae CL-33	55.31
Halomonas chromatireducens AGD 8-3	Marinobacter santoriniensis NKSG1	57.42
Halomonas chromatireducens AGD 8-3	Moraxella oblonga NBRC 102422	51.58
Halomonas chromatireducens AGD 8-3	Cellvibrio japonicus Ueda107	55.62
Halomonas chromatireducens AGD 8-3	Microbulbifer agarilyticus GP101	56.14
Halomonas chromatireducens AGD 8-3	Acinetobacter gyllenbergii NIPH 230	52.46
Halomonas chromatireducens AGD 8-3	Acinetobacter boissieri ANC 4422	52.21
Halomonas chromatireducens AGD 8-3	Bermanella marisrubri RED65	54.84
Halomonas chromatireducens AGD 8-3	Marinomonas ushuaiensis DSM 15871	54.41
Halomonas chromatireducens AGD 8-3	Pseudomonas marincola JCM 14761	56.24
Halomonas chromatireducens AGD 8-3	Acinetobacter rudis DSM 24031	52.06
Halomonas chromatireducens AGD 8-3	Pseudomonas litoralis 2SM5	56.53
Halomonas chromatireducens AGD 8-3	Oceanicoccus sagamiensis NBRC 107125	55.37
Halomonas chromatireducens AGD 8-3	Marinomonas posidonica IVIA-Po-181	54.36
Halomonas chromatireducens AGD 8-3	Acinetobacter populi PBJ7	53.01
Halomonas chromatireducens AGD 8-3	Moraxella nonliquefaciens CCUG 348	51.41
Halomonas chromatireducens AGD 8-3	Congregibacter litoralis KT71	55.03
Halomonas chromatireducens AGD 8-3	Halomonas zincidurans B6	70.85
Halomonas chromatireducens AGD 8-3	Acinetobacter larvae BRTC-1	52.60
Halomonas chromatireducens AGD 8-3	Pseudomonas hussainii JCM 19513	56.87
Halomonas chromatireducens AGD 8-3	Pseudomonas caeni DSM 24390	56.42
Halomonas chromatireducens AGD 8-3	Kushneria marisflavi SW32	63.07
Halomonas chromatireducens AGD 8-3	Acinetobacter junii 65	52.60
Halomonas chromatireducens AGD 8-3	Halomonas lutea DSM 23508	71.07
Halomonas chromatireducens AGD 8-3	Halomonas saccharevitans CGMCC 1.6493	76.08
Halomonas chromatireducens AGD 8-3	Haliea salexigens DSM 19537	55.54
Halomonas chromatireducens AGD 8-3	Pseudomonas protegens CHA0	55.99
Halomonas chromatireducens AGD 8-3	Alcanivorax borkumensis SK2	55.89
Halomonas chromatireducens AGD 8-3	Halioglobus pacificus RR3-57	55.24
Halomonas chromatireducens AGD 8-3	Marinomonas atlantica Cmf 18.22	54.68
Halomonas chromatireducens AGD 8-3	Chromohalobacter salexigens DSM 3043	69.77
Halomonas chromatireducens AGD 8-3	Pseudomonas aestusnigri VGXO14	56.79
Halomonas chromatireducens AGD 8-3	Halomonas subterranea CGMCC 1.6495	72.67
Halomonas chromatireducens AGD 8-3	Halomonas desiderata SP1	82.48
Halomonas chromatireducens AGD 8-3	Gilvimarinus agarilyticus JEA5	55.47
Halomonas chromatireducens AGD 8-3	Pseudomonas psychrotolerans PRS08-11306	56.58
Halomonas chromatireducens AGD 8-3	Chromohalobacter japonicus CJ	69.83
Halomonas chromatireducens AGD 8-3	Marinobacter excellens HL-55	57.65
Halomonas chromatireducens AGD 8-3	Moraxella lincolnii CCUG 9405	51.87
Halomonas chromatireducens AGD 8-3	Acinetobacter gerneri CIP 107464	52.22
Halomonas chromatireducens AGD 8-3	Saccharophagus degradans 2-40	54.54
Halomonas chromatireducens AGD 8-3	Halioglobus japonicus NBRC 107739	55.64
Halomonas chromatireducens AGD 8-3	Halomonas utahensis P-halo	56.68
Halomonas chromatireducens AGD 8-3	Gynuella sunshinyii YC6258	54.45
Halomonas chromatireducens AGD 8-3	Pseudomonas pelagia CL-AP6	56.62
Halomonas chromatireducens AGD 8-3	Halomonas jeotgali Hwa	69.89
Halomonas chromatireducens AGD 8-3	Microbulbifer variabilis ATCC 700307	55.73
Halomonas chromatireducens AGD 8-3	Amphritea japonica JAMM 1866	55.99
Halomonas chromatireducens AGD 8-3	Aidingimonas halophila DSM 19219	71.86
Halomonas chromatireducens AGD 8-3	Psychrobacter urativorans R10.10B	51.92
Halomonas chromatireducens AGD 8-3	Endozoicomonas numazuensis DSM 25634	55.30
Halomonas chromatireducens AGD 8-3	Moraxella porci CCUG 54912	51.87
Halomonas chromatireducens AGD 8-3	Oceanobacter kriegii DSM 6294	54.95
Halomonas chromatireducens AGD 8-3	Pseudomonas fluorescens F113	56.03
Halomonas chromatireducens AGD 8-3	Pseudomonas indica NBRC 103045	57.02
Halomonas chromatireducens AGD 8-3	Pseudomonas balearica DSM6083 (=SP1402)	56.73
Halomonas chromatireducens AGD 8-3	Acinetobacter bohemicus ANC 3994	52.34
Halomonas chromatireducens AGD 8-3	Pseudomonas anguilliseptica DSM 12111	56.74
Halomonas chromatireducens AGD 8-3	Marinomonas fungiae JCM 18476	54.84
Halomonas chromatireducens AGD 8-3	Azotobacter chroococcum NCIMB 8003	56.94
Halomonas chromatireducens AGD 8-3	Acinetobacter celticus ANC 4603	52.25
Halomonas chromatireducens AGD 8-3	Halomonas halodenitrificans DSM 735	75.78
Halomonas chromatireducens AGD 8-3	Moraxella osloensis CCUG 350	51.83
Halomonas chromatireducens AGD 8-3	Zymobacter palmae DSM 10491	61.26
Halomonas chromatireducens AGD 8-3	Acinetobacter equi 114	52.39
Halomonas chromatireducens AGD 8-3	Marinobacter hydrocarbonoclasticus ATCC 49840	57.80
Halomonas chromatireducens AGD 8-3	Pseudomonas borbori DSM 17834	56.58
Halomonas chromatireducens AGD 8-3	Marinagarivorans algicola Z1	54.70
Halomonas chromatireducens AGD 8-3	Acinetobacter beijerinckii CIP 110307	52.53
Halomonas chromatireducens AGD 8-3	Halomonas shengliensis CGMCC 1.6444	76.64
Halomonas chromatireducens AGD 8-3	Marinobacter segnicrescens CGMCC 1.6489	57.49
Halomonas chromatireducens AGD 8-3	Alcanivorax hongdengensis A-11-3	55.86
Halomonas chromatireducens AGD 8-3	Moraxella ovis 199/55	51.87
Halomonas chromatireducens AGD 8-3	Carnimonas nigrificans ATCC BAA-78	61.58
Halomonas chromatireducens AGD 8-3	Pseudomonas mendocina ymp	57.17
Halomonas chromatireducens AGD 8-3	Acinetobacter nectaris CIP 110549	52.32
Halomonas chromatireducens AGD 8-3	Marinobacter adhaerens HP15	57.48
Halomonas chromatireducens AGD 8-3	Pseudomonas kuykendallii NRRL B-59562	56.09
Halomonas chromatireducens AGD 8-3	Halomonas halocynthiae DSM 14573	71.16
Halomonas chromatireducens AGD 8-3	Acinetobacter towneri CIP 107472	52.81
Halomonas chromatireducens AGD 8-3	Halomonas pantelleriensis AAP	76.50
Halomonas chromatireducens AGD 8-3	Marinimicrobium agarilyticum DSM 16975	56.38
Halomonas chromatireducens AGD 8-3	Acinetobacter soli GFJ2	52.33
Halomonas chromatireducens AGD 8-3	Alcanivorax jadensis T9	55.73
Halomonas chromatireducens AGD 8-3	Pseudomonas otitidis DSM 17224	56.48
Halomonas chromatireducens AGD 8-3	Kushneria aurantia DSM 21353	63.52
Halomonas chromatireducens AGD 8-3	Acinetobacter defluvii WCHA30	52.54
Halomonas chromatireducens AGD 8-3	Marinomonas aquimarina CECT 5080	55.04
Halomonas chromatireducens AGD 8-3	Marinobacter salarius R9SW1	57.75
Halomonas chromatireducens AGD 8-3	Microbulbifer marinus CGMCC 1.10657	56.34
Halomonas chromatireducens AGD 8-3	Moraxella cuniculi DSM 21768	51.55
Halomonas chromatireducens AGD 8-3	Pseudomonas fuscovaginae LMG 2158	55.85
Halomonas chromatireducens AGD 8-3	Acinetobacter radioresistens CIP 103788	52.41
Halomonas chromatireducens AGD 8-3	Oblitimonas alkaliphila B4199	56.77
Halomonas chromatireducens AGD 8-3	Hahella ganghwensis DSM 17046	55.67
Halomonas chromatireducens AGD 8-3	Pseudomonas sagittaria JCM 18195	57.79
Halomonas chromatireducens AGD 8-3	Halomonas boliviensis LC1	72.72
Halomonas chromatireducens AGD 8-3	Ventosimonas gracilis CV58	56.30
Halomonas chromatireducens AGD 8-3	Halomonas salina B6	76.63
Halomonas chromatireducens AGD 8-3	Marinobacter subterrani JG233	57.84
Halomonas chromatireducens AGD 8-3	Moraxella catarrhalis BBH18	51.71
Halomonas chromatireducens AGD 8-3	Mangrovitalea sediminis M11-4	57.16
Halomonas chromatireducens AGD 8-3	Halomonas daqiaonensis CGMCC 1.9150	76.90
Halomonas chromatireducens AGD 8-3	Acinetobacter parvus CIP 108168	52.90
Halomonas chromatireducens AGD 8-3	Neptunomonas phycophila CECT 8716	56.11
Halomonas chromatireducens AGD 8-3	Pseudomonas oryzae KCTC 32247	58.13
Halomonas chromatireducens AGD 8-3	Halomonas xinjiangensis TRM 0175	73.59
Halomonas chromatireducens AGD 8-3	Dasania marina DSM 21967	54.79
Halomonas chromatireducens AGD 8-3	Halomonas taeanensis BH539	72.89
Halomonas chromatireducens AGD 8-3	Teredinibacter turnerae T7901	54.62
Halomonas chromatireducens AGD 8-3	Marinobacterium profundum PAMC 27536	56.43
Halomonas chromatireducens AGD 8-3	Marinomonas mediterranea MMB-1	54.32
Halomonas chromatireducens AGD 8-3	Pseudomonas resinovorans NBRC 106553	56.37
Halomonas chromatireducens AGD 8-3	Acinetobacter indicus CIP 110367	52.70
Halomonas chromatireducens AGD 8-3	Pseudomonas fulva 12-X	56.35
Halomonas chromatireducens AGD 8-3	Tamilnaduibacter salinus DSM 28688	57.50
Halomonas chromatireducens AGD 8-3	Terasakiispira papahanaumokuakeensis PH27A	59.90
Halomonas chromatireducens AGD 8-3	Nitrincola lacisaponensis 4CA	58.21
Halomonas chromatireducens AGD 8-3	Psychrobacter phenylpyruvicus DSM 7000	51.95
Halomonas chromatireducens AGD 8-3	Neptuniibacter caesariensis MED92	55.51
Halomonas chromatireducens AGD 8-3	Marinobacter antarcticus CGMCC 1.10835	57.46
Halomonas chromatireducens AGD 8-3	Acinetobacter apis ANC 5114	52.52
Halomonas chromatireducens AGD 8-3	Cobetia crustatorum JO1	66.27
Halomonas chromatireducens AGD 8-3	Acinetobacter schindleri ACE	52.60
Halomonas chromatireducens AGD 8-3	Halomonas cupida DSM 4740	71.74
Halomonas chromatireducens AGD 8-3	Spongiibacter tropicus DSM 19543	56.12
Halomonas chromatireducens AGD 8-3	Neptuniibacter marinus ATR 1.1	55.89
Halomonas chromatireducens AGD 8-3	Psychrobacter pacificensis DSM 23406	51.76
Halomonas chromatireducens AGD 8-3	Pseudomonas xinjiangensis NRRL B-51270	57.05
Halomonas chromatireducens AGD 8-3	Marinobacterium georgiense DSM 11526	57.06
Halomonas chromatireducens AGD 8-3	Acinetobacter johnsonii XBB1	52.15
Halomonas chromatireducens AGD 8-3	Marinobacterium jannaschii DSM 6295	55.85
Halomonas chromatireducens AGD 8-3	Halomonas anticariensis FP35	74.03
Halomonas chromatireducens AGD 8-3	Pseudomonas sabulinigri JCM 14963	56.58
Halomonas chromatireducens AGD 8-3	Pseudohaliea rubra DSM 19751	56.14
Halomonas chromatireducens AGD 8-3	Pseudomonas saudimassiliensis 12M76 air	57.09
Halomonas chromatireducens AGD 8-3	Marinomonas profundimaris D104	54.58
Halomonas chromatireducens AGD 8-3	Halotalea alkalilenta IHB B 13600	62.60
Halomonas chromatireducens AGD 8-3	Perlucidibaca piscinae DSM 21586	56.12
Halomonas chromatireducens AGD 8-3	Alcanivorax pacificus W11-5	56.26
Halomonas chromatireducens AGD 8-3	Marinobacter salinus Hb8	57.69
Halomonas chromatireducens AGD 8-3	Kangiella sediminilitoris KCTC 23892	53.21
Halomonas chromatireducens AGD 8-3	Pseudomonas zeshuii KACC 15471	56.00
Halomonas chromatireducens AGD 8-3	Alcanivorax dieselolei B5	55.89
Halomonas chromatireducens AGD 8-3	Psychrobacter alimentarius PAMC 27889	51.65
Halomonas chromatireducens AGD 8-3	Marinobacter persicus IBRC-M 10445	57.44
Halomonas chromatireducens AGD 8-3	Marinomonas polaris DSM 16579	54.51
Halomonas chromatireducens AGD 8-3	Pseudomonas formosensis JCM 18415	57.11
Halomonas chromatireducens AGD 8-3	Halomonas elongata HEK1	75.08
Halomonas chromatireducens AGD 8-3	Rugamonas rubra ATCC 43154	50.92
Halomonas chromatireducens AGD 8-3	Halomonas aestuarii Hb3	76.87
Acinetobacter marinus ANC 3699	Pseudomonas saudiphocaensis 20 BN	54.00
Acinetobacter marinus ANC 3699	Pseudomonas putida PA14H7	53.40
Acinetobacter marinus ANC 3699	Pseudomonas massiliensis CB1	53.81
Acinetobacter marinus ANC 3699	Pseudomonas flexibilis JCM 14085	54.15
Acinetobacter marinus ANC 3699	Microbulbifer donghaiensis CGMCC 1.7063	52.63
Acinetobacter marinus ANC 3699	Halomonas chromatireducens AGD 8-3	52.75
Acinetobacter marinus ANC 3699	Moraxella boevrei DSM 14165	57.57
Acinetobacter marinus ANC 3699	Luminiphilus syltensis NOR5-1B	51.68
Acinetobacter marinus ANC 3699	Marinobacter psychrophilus 20041	52.68
Acinetobacter marinus ANC 3699	Marinobacter daepoensis DSM 16072	52.70
Acinetobacter marinus ANC 3699	Halomonas korlensis CGMCC 1.6981	52.16
Acinetobacter marinus ANC 3699	Pseudomonas benzenivorans DSM 8628	53.84
Acinetobacter marinus ANC 3699	Reinekea blandensis MED297	51.69
Acinetobacter marinus ANC 3699	Thalassolituus oleivorans MIL-1	52.65
Acinetobacter marinus ANC 3699	Moraxella macacae 408225	57.62
Acinetobacter marinus ANC 3699	Neptunomonas japonica DSM 18939	52.68
Acinetobacter marinus ANC 3699	Acinetobacter kookii ANC 4667	69.25
Acinetobacter marinus ANC 3699	Balneatrix alpica DSM 16621	53.52
Acinetobacter marinus ANC 3699	Pseudomonas yangmingensis DSM 24213	53.57
Acinetobacter marinus ANC 3699	Marinospirillum minutulum DSM 6287	53.41
Acinetobacter marinus ANC 3699	Zhongshania aliphaticivorans SM2	52.55
Acinetobacter marinus ANC 3699	Pseudospirillum japonicum DSM 7165	53.88
Acinetobacter marinus ANC 3699	Marinobacter daqiaonensis CGMCC 1.9167	52.68
Acinetobacter marinus ANC 3699	Kangiella geojedonensis YCS-5	51.58
Acinetobacter marinus ANC 3699	Oceanospirillum multiglobuliferum ATCC 33336	53.76
Acinetobacter marinus ANC 3699	Pseudomonas lutea DSM 17257	53.71
Acinetobacter marinus ANC 3699	Endozoicomonas elysicola DSM 22380	52.09
Acinetobacter marinus ANC 3699	Marinobacterium litorale DSM 23545	52.89
Acinetobacter marinus ANC 3699	Pseudomonas alcaligenes NEB 585	54.02
Acinetobacter marinus ANC 3699	Oceanospirillum linum ATCC 11336	53.18
Acinetobacter marinus ANC 3699	Pseudomonas thermotolerans DSM 14292	54.31
Acinetobacter marinus ANC 3699	Zooshikella ganghwensis DSM 15267	52.64
Acinetobacter marinus ANC 3699	Oleispira antarctica RB-8	51.88
Acinetobacter marinus ANC 3699	Marinobacter lutaoensis T5054	53.18
Acinetobacter marinus ANC 3699	Kangiella koreensis DSM 16069	51.61
Acinetobacter marinus ANC 3699	Marinospirillum insulare DSM 21763	53.15
Acinetobacter marinus ANC 3699	Microbulbifer thermotolerans DAU221	52.91
Acinetobacter marinus ANC 3699	Acinetobacter brisouii CIP 110357	68.97
Acinetobacter marinus ANC 3699	Halomonas gudaonensis CGMCC 1.6133	52.85
Acinetobacter marinus ANC 3699	Halomonas subglaciescola ACAM 12	52.74
Acinetobacter marinus ANC 3699	Salinicola socius SMB35	52.09
Acinetobacter marinus ANC 3699	Marinomonas spartinae CECT 8886	52.25
Acinetobacter marinus ANC 3699	Oceanospirillum beijerinckii DSM 7166	52.86
Acinetobacter marinus ANC 3699	Halomonas huangheensis BJGMM-B45	52.32
Acinetobacter marinus ANC 3699	Halomonas ilicicola DSM 19980	52.38
Acinetobacter marinus ANC 3699	Microbulbifer yueqingensis CGMCC 1.10658	52.82
Acinetobacter marinus ANC 3699	Oceanospirillum maris DSM 6286	53.15
Acinetobacter marinus ANC 3699	Pseudomonas citronellolis SJTE-3	53.42
Acinetobacter marinus ANC 3699	Moraxella caviae CCUG 355	57.61
Acinetobacter marinus ANC 3699	Acinetobacter guillouiae NIPH 991	68.41
Acinetobacter marinus ANC 3699	Marinobacter nanhaiticus D15-8W	52.13
Acinetobacter marinus ANC 3699	Pseudomonas monteilii USDA-ARS-USMARC-56711	53.63
Acinetobacter marinus ANC 3699	Neptunomonas antarctica S3-22	52.45
Acinetobacter marinus ANC 3699	Alcanivorax nanhaiticus 19-m-6	52.83
Acinetobacter marinus ANC 3699	Amphritea atlantica DSM 18887	52.73
Acinetobacter marinus ANC 3699	Oleibacter marinus DSM 24913	52.90
Acinetobacter marinus ANC 3699	Kushneria avicenniae DSM 23439	52.02
Acinetobacter marinus ANC 3699	Pseudomonas jinjuensis JCM 21621	53.71
Acinetobacter marinus ANC 3699	Moraxella atlantae NBRC 14588	57.80
Acinetobacter marinus ANC 3699	Acinetobacter ursingii CIP 107286	69.60
Acinetobacter marinus ANC 3699	Nitrincola nitratireducens AK23	53.26
Acinetobacter marinus ANC 3699	Marinospirillum alkaliphilum DSM 21637	53.46
Acinetobacter marinus ANC 3699	Marinobacter nitratireducens AK21	52.92
Acinetobacter marinus ANC 3699	Marinobacter mobilis CGMCC 1.7059	53.03
Acinetobacter marinus ANC 3699	Microbulbifer mangrovi DD-13	52.78
Acinetobacter marinus ANC 3699	Cobetia marina JCM 21022	52.45
Acinetobacter marinus ANC 3699	Simiduia agarivorans SA1 = DSM 21679	53.02
Acinetobacter marinus ANC 3699	Pseudomonas salegens CECT 8338	53.22
Acinetobacter marinus ANC 3699	Pseudomonas stutzeri CGMCC 1.1803	53.51
Acinetobacter marinus ANC 3699	Pseudomonas nitroreducens NBRC 12694	53.41
Acinetobacter marinus ANC 3699	Acinetobacter tandoii CIP 107469	69.17
Acinetobacter marinus ANC 3699	Oleiphilus messinensis ME102	52.40
Acinetobacter marinus ANC 3699	Pseudomonas guineae LMG 24016	54.06
Acinetobacter marinus ANC 3699	Pseudomonas guangdongensis CCTCC 2012022	54.30
Acinetobacter marinus ANC 3699	Gilvimarinus chinensis DSM 19667	52.54
Acinetobacter marinus ANC 3699	Pseudomonas pachastrellae JCM 12285	53.55
Acinetobacter marinus ANC 3699	Marinobacter zhejiangensis CGMCC 1.7061	52.92
Acinetobacter marinus ANC 3699	Spongiibacter marinus DSM 19753	52.93
Acinetobacter marinus ANC 3699	Acinetobacter bouvetii CIP 107468	68.65
Acinetobacter marinus ANC 3699	Cellvibrio mixtus J3-8	53.31
Acinetobacter marinus ANC 3699	Marinobacter lipolyticus SM19	52.51
Acinetobacter marinus ANC 3699	Pseudomonas rhizosphaerae DSM 16299	53.74
Acinetobacter marinus ANC 3699	Marinobacterium stanieri DSM 7027	53.41
Acinetobacter marinus ANC 3699	Moraxella caprae DSM 19149	56.86
Acinetobacter marinus ANC 3699	Hahella chejuensis KCTC 2396	52.20
Acinetobacter marinus ANC 3699	Acinetobacter harbinensis HITLi 7	68.83
Acinetobacter marinus ANC 3699	Saccharospirillum impatiens DSM 12546	52.06
Acinetobacter marinus ANC 3699	Psychrobacter arcticus 273-4	57.29
Acinetobacter marinus ANC 3699	Perlucidibaca aquatica BK296	56.86
Acinetobacter marinus ANC 3699	Marinospirillum celere DSM 18438	53.55
Acinetobacter marinus ANC 3699	Halomonas muralis DSM 14789	52.31
Acinetobacter marinus ANC 3699	Halomonas campaniensis LS21	52.56
Acinetobacter marinus ANC 3699	Pseudomonas taeanensis MS-3	53.67
Acinetobacter marinus ANC 3699	Pseudomonas pohangensis DSM 17875	53.85
Acinetobacter marinus ANC 3699	Alkanindiges illinoisensis DSM 15370	64.47
Acinetobacter marinus ANC 3699	Acinetobacter qingfengensis ANC 4671	72.99
Acinetobacter marinus ANC 3699	Acinetobacter baumannii AB030	69.46
Acinetobacter marinus ANC 3699	Endozoicomonas atrinae WP70	52.51
